#_psys_name,psys_pictureurl,st_name,st_mass,st_radius,st_efftemp,st_pictureurl,pl_name,pl_mass,pl_radius,pl_semimajor,pl_ecc,pl_orbper,pl_pictureurl
HAT-P-7_System,http://bit.ly/2Iz4jPB,HAT-P-7,3.10E+30,1391400,6389,http://bit.ly/336nzNZ,HAT-P-7_b,3.49E+27,107952.92,0,0,2.20474,http://bit.ly/2Q2PngD
OGLE2-TR-L9_System,http://bit.ly/2Iz4jPB,OGLE2-TR-L9,3.02E+30,1064421,6933,http://bit.ly/336nzNZ,OGLE2-TR-L9_b,8.54E+27,115102.12,4607614.427,0,2.4855335,http://bit.ly/2Q2PngD
K2-100_System,http://bit.ly/2Iz4jPB,K2-100,2.45E+30,848754,6168,http://bit.ly/336nzNZ,K2-100_b,0,22877.44,4428096.982,0,1.673833,http://bit.ly/2Q2PngD
Kepler-424_System,http://bit.ly/2Iz4jPB,Kepler-424,2.01E+30,653958,5460,http://bit.ly/336nzNZ,Kepler-424_b,1.95E+27,63627.88,6582306.324,0,3.3118644,http://bit.ly/2Q2PngD
Kepler-424_System,http://bit.ly/2Iz4jPB,Kepler-424,2.01E+30,653958,5460,http://bit.ly/336nzNZ,Kepler-424_c,1.32E+28,0,1.09E+08,0,223.3,http://bit.ly/2Q2PngD
Kepler-100_System,http://bit.ly/2Iz4jPB,Kepler-100,2.15E+30,1036593,5825,http://bit.ly/336nzNZ,Kepler-100_b,4.37E+25,8436.056,0,0,6.88705,http://bit.ly/2Q2PngD
Kepler-100_System,http://bit.ly/2Iz4jPB,Kepler-100,2.15E+30,1036593,5825,http://bit.ly/336nzNZ,Kepler-100_c,4.21E+25,14012.432,0,0,12.8159,http://bit.ly/2Q2PngD
Kepler-100_System,http://bit.ly/2Iz4jPB,Kepler-100,2.15E+30,1036593,5825,http://bit.ly/336nzNZ,Kepler-100_d,1.79E+25,10294.848,0,0,35.3331,http://bit.ly/2Q2PngD
WASP-38_System,http://bit.ly/2Iz4jPB,WASP-38,3.50E+30,1057464,6180,http://bit.ly/336nzNZ,WASP-38_b,6.53E+27,87935.16,0,0.03,6.87188,http://bit.ly/2Q2PngD
Kepler-278_System,http://bit.ly/2Iz4jPB,Kepler-278,0,2045358,4991,http://bit.ly/336nzNZ,Kepler-278_b,0,25951.596,3.10E+07,0,30.160546,http://bit.ly/2Q2PngD
Kepler-278_System,http://bit.ly/2Iz4jPB,Kepler-278,0,2045358,4991,http://bit.ly/336nzNZ,Kepler-278_c,0,22877.44,4.40E+07,0,51.078775,http://bit.ly/2Q2PngD
HD_38529_System,http://bit.ly/2Iz4jPB,HD_38529,2.80E+30,1780992,5541,http://bit.ly/336nzNZ,HD_38529_b,1.51E+27,0,1.94E+07,0.28,14.30944,http://bit.ly/2Q2PngD
HD_38529_System,http://bit.ly/2Iz4jPB,HD_38529,2.80E+30,1780992,5541,http://bit.ly/336nzNZ,HD_38529_c,2.47E+28,0,5.45E+08,0.3407,2136.1,http://bit.ly/2Q2PngD
HD_28678_System,http://bit.ly/2Iz4jPB,HD_28678,3.04E+30,4508136,4972,http://bit.ly/336nzNZ,HD_28678_b,2.93E+27,0,1.77E+08,0.149,380.2,http://bit.ly/2Q2PngD
WASP-170_System,http://bit.ly/2Iz4jPB,WASP-170,1.85E+30,653958,5600,http://bit.ly/336nzNZ,WASP-170_b,3.04E+27,78355.232,5041448.253,0,2.34478022,http://bit.ly/2Q2PngD
K2-278_System,http://bit.ly/2Iz4jPB,K2-278,2.78E+30,1120077,6747,http://bit.ly/336nzNZ,K2-278_b,0,19016.872,7300376.105,0,3.334966,http://bit.ly/2Q2PngD
Kepler-55_System,http://bit.ly/2Iz4jPB,Kepler-55,0,431334,4503,http://bit.ly/336nzNZ,Kepler-55_b,2.83E+27,15513.764,0,0,27.9481449,http://bit.ly/2Q2PngD
Kepler-55_System,http://bit.ly/2Iz4jPB,Kepler-55,0,431334,4503,http://bit.ly/336nzNZ,Kepler-55_c,2.11E+27,14083.924,0,0,42.1516418,http://bit.ly/2Q2PngD
Kepler-55_System,http://bit.ly/2Iz4jPB,Kepler-55,0,431334,4503,http://bit.ly/336nzNZ,Kepler-55_d,0,10151.864,4338338.259,0,2.211099,http://bit.ly/2Q2PngD
Kepler-55_System,http://bit.ly/2Iz4jPB,Kepler-55,0,431334,4503,http://bit.ly/336nzNZ,Kepler-55_e,0,9865.896,7180697.808,0,4.617534,http://bit.ly/2Q2PngD
Kepler-55_System,http://bit.ly/2Iz4jPB,Kepler-55,0,431334,4503,http://bit.ly/336nzNZ,Kepler-55_f,0,10151.864,1.21E+07,0,10.198545,http://bit.ly/2Q2PngD
Kepler-182_System,http://bit.ly/2Iz4jPB,Kepler-182,0,800055,6250,http://bit.ly/336nzNZ,Kepler-182_b,0,16443.16,1.44E+07,0,9.825792,http://bit.ly/2Q2PngD
Kepler-182_System,http://bit.ly/2Iz4jPB,Kepler-182,0,800055,6250,http://bit.ly/336nzNZ,Kepler-182_c,0,21876.552,2.35E+07,0,20.684342,http://bit.ly/2Q2PngD
Kepler-1304_System,http://bit.ly/2Iz4jPB,Kepler-1304,1.69E+30,563517,5259,http://bit.ly/336nzNZ,Kepler-1304_b,0,14584.368,0,0,16.1288853,http://bit.ly/2Q2PngD
Kepler-171_System,http://bit.ly/2Iz4jPB,Kepler-171,0,584388,5642,http://bit.ly/336nzNZ,Kepler-171_b,0,14941.828,7479893.55,0,4.166972,http://bit.ly/2Q2PngD
Kepler-171_System,http://bit.ly/2Iz4jPB,Kepler-171,0,584388,5642,http://bit.ly/336nzNZ,Kepler-171_c,0,16300.176,1.47E+07,0,11.463462,http://bit.ly/2Q2PngD
Kepler-171_System,http://bit.ly/2Iz4jPB,Kepler-171,0,584388,5642,http://bit.ly/336nzNZ,Kepler-171_d,0,12082.148,3.34E+07,0,39.595519,http://bit.ly/2Q2PngD
1RXS_J160929.1-210524_System,http://bit.ly/2Iz4jPB,1RXS_J160929.1-210524,1.69E+30,0,4060,http://bit.ly/336nzNZ,1RXS_J160929.1-210524_b,1.52E+28,0,4.94E+10,0,0,http://bit.ly/2Q2PngD
Kepler-66_System,http://bit.ly/2Iz4jPB,Kepler-66,2.07E+30,674829,5962,http://bit.ly/336nzNZ,Kepler-66_b,0,17873,2.02E+07,0,17.815815,http://bit.ly/2Q2PngD
Kepler-8_System,http://bit.ly/2Iz4jPB,Kepler-8,2.41E+30,1036593,6213,http://bit.ly/336nzNZ,Kepler-8_b,1.12E+27,101232.672,7090939.085,0,3.5224991,http://bit.ly/2Q2PngD
Kepler-965_System,http://bit.ly/2Iz4jPB,Kepler-965,2.09E+30,800055,5886,http://bit.ly/336nzNZ,Kepler-965_b,0,21590.584,0,0,134.2527298,http://bit.ly/2Q2PngD
Kepler-976_System,http://bit.ly/2Iz4jPB,Kepler-976,1.73E+30,577431,5232,http://bit.ly/336nzNZ,Kepler-976_b,0,25236.676,0,0,105.9564148,http://bit.ly/2Q2PngD
Kepler-207_System,http://bit.ly/2Iz4jPB,Kepler-207,0,1106163,5920,http://bit.ly/336nzNZ,Kepler-207_b,0,10008.88,4338338.259,0,1.611865,http://bit.ly/2Q2PngD
Kepler-207_System,http://bit.ly/2Iz4jPB,Kepler-207,0,1106163,5920,http://bit.ly/336nzNZ,Kepler-207_c,0,9579.928,6582306.324,0,3.071571,http://bit.ly/2Q2PngD
Kepler-207_System,http://bit.ly/2Iz4jPB,Kepler-207,0,1106163,5920,http://bit.ly/336nzNZ,Kepler-207_d,0,21090.14,1.02E+07,0,5.868075,http://bit.ly/2Q2PngD
LkCa_15_System,http://bit.ly/2Iz4jPB,LkCa_15,0,0,0,http://bit.ly/336nzNZ,LkCa_15_b,0,0,2.20E+09,0,0,http://bit.ly/2Q2PngD
LkCa_15_System,http://bit.ly/2Iz4jPB,LkCa_15,0,0,0,http://bit.ly/336nzNZ,LkCa_15_c,0,0,2.78E+09,0,0,http://bit.ly/2Q2PngD
11_UMi_System,http://bit.ly/2Iz4jPB,11_UMi,5.53E+30,2.07E+07,4213,http://bit.ly/336nzNZ,11_UMi_b,2.80E+28,0,2.29E+08,0.08,516.21997,http://bit.ly/2Q2PngD
HD_178911_B_System,http://bit.ly/2Iz4jPB,HD_178911_B,2.47E+30,751356,5588,http://bit.ly/336nzNZ,HD_178911_B_b,1.52E+28,0,5.09E+07,0.11,71.484,http://bit.ly/2Q2PngD
Kepler-1051_System,http://bit.ly/2Iz4jPB,Kepler-1051,2.84E+30,1203561,6675,http://bit.ly/336nzNZ,Kepler-1051_b,0,21662.076,0,0,25.96200249,http://bit.ly/2Q2PngD
Kepler-1062_System,http://bit.ly/2Iz4jPB,Kepler-1062,1.49E+30,486990,4597,http://bit.ly/336nzNZ,Kepler-1062_b,0,11224.244,0,0,9.30412078,http://bit.ly/2Q2PngD
Kepler-111_System,http://bit.ly/2Iz4jPB,Kepler-111,0,807012,5952,http://bit.ly/336nzNZ,Kepler-111_b,0,10080.372,6881502.066,0,3.341815,http://bit.ly/2Q2PngD
Kepler-111_System,http://bit.ly/2Iz4jPB,Kepler-111,0,807012,5952,http://bit.ly/336nzNZ,Kepler-111_c,0,46541.292,1.14E+08,0,224.784608,http://bit.ly/2Q2PngD
Kepler-880_System,http://bit.ly/2Iz4jPB,Kepler-880,2.90E+30,1210518,6761,http://bit.ly/336nzNZ,Kepler-880_b,0,16943.604,0,0,7.71468975,http://bit.ly/2Q2PngD
OGLE-2015-BLG-0051L_System,http://bit.ly/2Iz4jPB,OGLE-2015-BLG-0051L,1.99E+29,0,0,http://bit.ly/336nzNZ,OGLE-2015-BLG-0051L_b,1.37E+27,0,1.09E+08,0,0,http://bit.ly/2Q2PngD
Kepler-413_System,http://bit.ly/2Iz4jPB,Kepler-413,1.63E+30,542646,4700,http://bit.ly/336nzNZ,Kepler-413_b,4.00E+26,27738.896,5.32E+07,0.1181,66.262,http://bit.ly/2Q2PngD
WASP-49_System,http://bit.ly/2Iz4jPB,WASP-49,1.83E+30,674829,5600,http://bit.ly/336nzNZ,WASP-49_b,7.02E+26,79356.12,0,0,2.78174,http://bit.ly/2Q2PngD
K2-11_System,http://bit.ly/2Iz4jPB,K2-11,2.69E+30,3582855,5433,http://bit.ly/336nzNZ,K2-11_b,0,48185.608,3.38E+07,0,39.93767,http://bit.ly/2Q2PngD
K2-111_System,http://bit.ly/2Iz4jPB,K2-111,1.75E+30,855711,5730,http://bit.ly/336nzNZ,K2-111_b,5.14E+25,12153.64,9290027.789,0,5.35117,http://bit.ly/2Q2PngD
Kepler-435_System,http://bit.ly/2Iz4jPB,Kepler-435,3.06E+30,2233197,6161,http://bit.ly/336nzNZ,Kepler-435_b,1.59E+27,142269.08,1.42E+07,0.114,8.6001536,http://bit.ly/2Q2PngD
WASP-181_System,http://bit.ly/2Iz4jPB,WASP-181,2.07E+30,667872,5839,http://bit.ly/336nzNZ,WASP-181_b,5.68E+26,84646.528,8118676.459,0,4.5195064,http://bit.ly/2Q2PngD
Kepler-1628_System,http://bit.ly/2Iz4jPB,Kepler-1628,1.09E+30,361764,3724,http://bit.ly/336nzNZ,Kepler-1628_b,0,41036.408,0,0,76.378033,http://bit.ly/2Q2PngD
Kepler-1592_System,http://bit.ly/2Iz4jPB,Kepler-1592,2.35E+30,890496,6213,http://bit.ly/336nzNZ,Kepler-1592_b,0,9794.404,0,0,3.05710069,http://bit.ly/2Q2PngD
HIP_8541_System,http://bit.ly/2Iz4jPB,HIP_8541,2.33E+30,5447331,4670,http://bit.ly/336nzNZ,HIP_8541_b,1.04E+28,0,4.19E+08,0.16,1560.2,http://bit.ly/2Q2PngD
HD_216435_System,http://bit.ly/2Iz4jPB,HD_216435,2.59E+30,0,5999,http://bit.ly/336nzNZ,HD_216435_b,2.39E+27,0,3.83E+08,0.07,1311,http://bit.ly/2Q2PngD
